Model,RMSE,MAE,R²,MAPE (%),Accuracy ±0.25,Accuracy ±0.5,Accuracy ±1.0,Max Error,Explained Var
Standard NN,0.9998330843052243,0.7708347904523213,0.3556026339156154,39.51397492710349,18.66%,39.09%,75.35%,4.703029125213623,0.543597760914402
RNN,0.6941043661235907,0.5391852533700828,0.666797883232306,28.227755700597307,27.65%,55.76%,88.02%,2.843790676116943,0.6997262778223188
LSTM,0.7485040868378193,0.5713109196807932,0.6125224446055586,30.181410425637374,23.50%,56.22%,85.71%,3.056483413696289,0.6691280028628787
